year,nome,month,Number of Fires,date
2000,MARANHAO,January,19,2000-01-01
2001,MARANHAO,January,29,2001-01-01
2002,MARANHAO,January,48,2002-01-01
2003,MARANHAO,January,436,2003-01-01
2004,MARANHAO,January,241,2004-01-01
2005,MARANHAO,January,450,2005-01-01
2006,MARANHAO,January,221,2006-01-01
2007,MARANHAO,January,428,2007-01-01
2008,MARANHAO,January,121,2008-01-01
2009,MARANHAO,January,240,2009-01-01
2010,MARANHAO,January,319,2010-01-01
2011,MARANHAO,January,124,2011-01-01
2012,MARANHAO,January,326,2012-01-01
2013,MARANHAO,January,209,2013-01-01
2014,MARANHAO,January,195,2014-01-01
2015,MARANHAO,January,494,2015-01-01
2016,MARANHAO,January,412,2016-01-01
2017,MARANHAO,January,187,2017-01-01
1998,MARANHAO,February,0,1998-01-01
1999,MARANHAO,February,6,1999-01-01
2000,MARANHAO,February,11,2000-01-01
2001,MARANHAO,February,1,2001-01-01
2002,MARANHAO,February,116,2002-01-01
2003,MARANHAO,February,11,2003-01-01
2004,MARANHAO,February,22,2004-01-01
2005,MARANHAO,February,56,2005-01-01
2006,MARANHAO,February,22,2006-01-01
2007,MARANHAO,February,13,2007-01-01
2008,MARANHAO,February,45,2008-01-01
2009,MARANHAO,February,20,2009-01-01
2010,MARANHAO,February,93,2010-01-01
2011,MARANHAO,February,9,2011-01-01
2012,MARANHAO,February,46,2012-01-01
2013,MARANHAO,February,62,2013-01-01
2014,MARANHAO,February,29,2014-01-01
2015,MARANHAO,February,95,2015-01-01
2016,MARANHAO,February,318,2016-01-01
2017,MARANHAO,February,47,2017-01-01
1998,MARANHAO,March,0,1998-01-01
1999,MARANHAO,March,17,1999-01-01
2000,MARANHAO,March,6,2000-01-01
2001,MARANHAO,March,0,2001-01-01
2002,MARANHAO,March,16,2002-01-01
2003,MARANHAO,March,16,2003-01-01
2004,MARANHAO,March,18,2004-01-01
2005,MARANHAO,March,9,2005-01-01
2006,MARANHAO,March,14,2006-01-01
2007,MARANHAO,March,52,2007-01-01
2008,MARANHAO,March,4,2008-01-01
2009,MARANHAO,March,33,2009-01-01
2010,MARANHAO,March,82,2010-01-01
2011,MARANHAO,March,22,2011-01-01
2012,MARANHAO,March,49,2012-01-01
2013,MARANHAO,March,30,2013-01-01
2014,MARANHAO,March,59,2014-01-01
2015,MARANHAO,March,53,2015-01-01
2016,MARANHAO,March,113,2016-01-01
2017,MARANHAO,March,32,2017-01-01
1998,MARANHAO,April,0,1998-01-01
1999,MARANHAO,April,4,1999-01-01
2000,MARANHAO,April,6,2000-01-01
2001,MARANHAO,April,2,2001-01-01
2002,MARANHAO,April,28,2002-01-01
2003,MARANHAO,April,79,2003-01-01
2004,MARANHAO,April,44,2004-01-01
2005,MARANHAO,April,43,2005-01-01
2006,MARANHAO,April,9,2006-01-01
2007,MARANHAO,April,5,2007-01-01
2008,MARANHAO,April,26,2008-01-01
2009,MARANHAO,April,14,2009-01-01
2010,MARANHAO,April,128,2010-01-01
2011,MARANHAO,April,37,2011-01-01
2012,MARANHAO,April,97,2012-01-01
2013,MARANHAO,April,62,2013-01-01
2014,MARANHAO,April,78,2014-01-01
2015,MARANHAO,April,119,2015-01-01
2016,MARANHAO,April,113,2016-01-01
2017,MARANHAO,April,91,2017-01-01
1998,MARANHAO,May,0,1998-01-01
1999,MARANHAO,May,3,1999-01-01
2000,MARANHAO,May,28,2000-01-01
2001,MARANHAO,May,21,2001-01-01
2002,MARANHAO,May,71,2002-01-01
2003,MARANHAO,May,60,2003-01-01
2004,MARANHAO,May,145,2004-01-01
2005,MARANHAO,May,74,2005-01-01
2006,MARANHAO,May,5,2006-01-01
2007,MARANHAO,May,73,2007-01-01
2008,MARANHAO,May,26,2008-01-01
2009,MARANHAO,May,19,2009-01-01
2010,MARANHAO,May,273,2010-01-01
2011,MARANHAO,May,73,2011-01-01
2012,MARANHAO,May,286,2012-01-01
2013,MARANHAO,May,100,2013-01-01
2014,MARANHAO,May,148,2014-01-01
2015,MARANHAO,May,194,2015-01-01
2016,MARANHAO,May,206,2016-01-01
2017,MARANHAO,May,142,2017-01-01
1998,MARANHAO,June,78,1998-01-01
1999,MARANHAO,June,32,1999-01-01
2000,MARANHAO,June,94,2000-01-01
2001,MARANHAO,June,100,2001-01-01
2002,MARANHAO,June,230,2002-01-01
2003,MARANHAO,June,338,2003-01-01
2004,MARANHAO,June,706,2004-01-01
2005,MARANHAO,June,529,2005-01-01
2006,MARANHAO,June,131,2006-01-01
2007,MARANHAO,June,515,2007-01-01
2008,MARANHAO,June,235,2008-01-01
2009,MARANHAO,June,279,2009-01-01
2010,MARANHAO,June,494,2010-01-01
2011,MARANHAO,June,602,2011-01-01
2012,MARANHAO,June,915,2012-01-01
2013,MARANHAO,June,498,2013-01-01
2014,MARANHAO,June,812,2014-01-01
2015,MARANHAO,June,887,2015-01-01
2016,MARANHAO,June,709,2016-01-01
2017,MARANHAO,June,885,2017-01-01
1998,MARANHAO,July,274,1998-01-01
1999,MARANHAO,July,258,1999-01-01
2000,MARANHAO,July,233,2000-01-01
2001,MARANHAO,July,549,2001-01-01
2002,MARANHAO,July,1.271,2002-01-01
2003,MARANHAO,July,1.103,2003-01-01
2004,MARANHAO,July,1.366,2004-01-01
2005,MARANHAO,July,1.152,2005-01-01
2006,MARANHAO,July,512,2006-01-01
2007,MARANHAO,July,1.205,2007-01-01
2008,MARANHAO,July,502,2008-01-01
2009,MARANHAO,July,972,2009-01-01
2010,MARANHAO,July,2.323,2010-01-01
2011,MARANHAO,July,1.024,2011-01-01
2012,MARANHAO,July,3.548,2012-01-01
2013,MARANHAO,July,1.111,2013-01-01
2014,MARANHAO,July,2.068,2014-01-01
2015,MARANHAO,July,1.642,2015-01-01
2016,MARANHAO,July,2.096,2016-01-01
2017,MARANHAO,July,2.521,2017-01-01
1998,MARANHAO,August,1.176,1998-01-01
1999,MARANHAO,August,895,1999-01-01
2000,MARANHAO,August,839,2000-01-01
2001,MARANHAO,August,2.037,2001-01-01
2002,MARANHAO,August,3.481,2002-01-01
2003,MARANHAO,August,2.023,2003-01-01
2004,MARANHAO,August,1.889,2004-01-01
2005,MARANHAO,August,2.239,2005-01-01
2006,MARANHAO,August,1.382,2006-01-01
2007,MARANHAO,August,8.409,2007-01-01
2008,MARANHAO,August,713,2008-01-01
2009,MARANHAO,August,1.766,2009-01-01
2010,MARANHAO,August,6.353,2010-01-01
2011,MARANHAO,August,2.138,2011-01-01
2012,MARANHAO,August,10.395,2012-01-01
2013,MARANHAO,August,2.098,2013-01-01
2014,MARANHAO,August,5.592,2014-01-01
2015,MARANHAO,August,5.428,2015-01-01
2016,MARANHAO,August,3.723,2016-01-01
2017,MARANHAO,August,3.875,2017-01-01
1998,MARANHAO,September,3.935,1998-01-01
1999,MARANHAO,September,1.739,1999-01-01
2000,MARANHAO,September,1.365,2000-01-01
2001,MARANHAO,September,4.618,2001-01-01
2002,MARANHAO,September,3.181,2002-01-01
2003,MARANHAO,September,5.878,2003-01-01
2004,MARANHAO,September,4.673,2004-01-01
2005,MARANHAO,September,6.292,2005-01-01
2006,MARANHAO,September,2.907,2006-01-01
2007,MARANHAO,September,8.524,2007-01-01
2008,MARANHAO,September,2.761,2008-01-01
2009,MARANHAO,September,2.404,2009-01-01
2010,MARANHAO,September,9.795,2010-01-01
2011,MARANHAO,September,4.632,2011-01-01
2012,MARANHAO,September,7.626,2012-01-01
2013,MARANHAO,September,3.88,2013-01-01
2014,MARANHAO,September,4.373,2014-01-01
2015,MARANHAO,September,6.423,2015-01-01
2016,MARANHAO,September,3.166,2016-01-01
2017,MARANHAO,September,14.825,2017-01-01
1998,MARANHAO,October,5.137,1998-01-01
1999,MARANHAO,October,3.208,1999-01-01
2000,MARANHAO,October,2.654,2000-01-01
2001,MARANHAO,October,6.661,2001-01-01
2002,MARANHAO,October,5.182,2002-01-01
2003,MARANHAO,October,6.085,2003-01-01
2004,MARANHAO,October,3.604,2004-01-01
2005,MARANHAO,October,6.472,2005-01-01
2006,MARANHAO,October,3.024,2006-01-01
2007,MARANHAO,October,4.772,2007-01-01
2008,MARANHAO,October,3.498,2008-01-01
2009,MARANHAO,October,1.861,2009-01-01
2010,MARANHAO,October,3.228,2010-01-01
2011,MARANHAO,October,2.404,2011-01-01
2012,MARANHAO,October,5,2012-01-01
2013,MARANHAO,October,2.918,2013-01-01
2014,MARANHAO,October,5.812,2014-01-01
2015,MARANHAO,October,6.746,2015-01-01
2016,MARANHAO,October,5.351,2016-01-01
2017,MARANHAO,October,6.011,2017-01-01
1998,MARANHAO,November,2.237,1998-01-01
1999,MARANHAO,November,1.494,1999-01-01
2000,MARANHAO,November,2.267,2000-01-01
2001,MARANHAO,November,3.525,2001-01-01
2002,MARANHAO,November,5.83,2002-01-01
2003,MARANHAO,November,4.929,2003-01-01
2004,MARANHAO,November,6.398,2004-01-01
2005,MARANHAO,November,4.769,2005-01-01
2006,MARANHAO,November,2.004,2006-01-01
2007,MARANHAO,November,2.297,2007-01-01
2008,MARANHAO,November,2.331,2008-01-01
2009,MARANHAO,November,5,2009-01-01
2010,MARANHAO,November,4.005,2010-01-01
2011,MARANHAO,November,2.261,2011-01-01
2012,MARANHAO,November,2.01,2012-01-01
2013,MARANHAO,November,2.529,2013-01-01
2014,MARANHAO,November,3.869,2014-01-01
2015,MARANHAO,November,4.35,2015-01-01
2016,MARANHAO,November,3.982,2016-01-01
2017,MARANHAO,November,2.3,2017-01-01
1998,MARANHAO,December,1.399,1998-01-01
1999,MARANHAO,December,1.001,1999-01-01
2000,MARANHAO,December,1.461,2000-01-01
2001,MARANHAO,December,1.296,2001-01-01
2002,MARANHAO,December,2.165,2002-01-01
2003,MARANHAO,December,2.424,2003-01-01
2004,MARANHAO,December,3.255,2004-01-01
2005,MARANHAO,December,1.66,2005-01-01
2006,MARANHAO,December,1.052,2006-01-01
2007,MARANHAO,December,800,2007-01-01
2008,MARANHAO,December,1.101,2008-01-01
2009,MARANHAO,December,1.768,2009-01-01
2010,MARANHAO,December,1.803,2010-01-01
2011,MARANHAO,December,1.629,2011-01-01
2012,MARANHAO,December,1.296,2012-01-01
2013,MARANHAO,December,2.692,2013-01-01
2014,MARANHAO,December,2.4,2014-01-01
2015,MARANHAO,December,3.706,2015-01-01
2016,MARANHAO,December,1.577,2016-01-01
1998,MATO GROSSO,January,0,1998-01-01
1999,MATO GROSSO,January,39,1999-01-01
2000,MATO GROSSO,January,44,2000-01-01
2001,MATO GROSSO,January,44,2001-01-01
2002,MATO GROSSO,January,172,2002-01-01
2003,MATO GROSSO,January,896,2003-01-01
2004,MATO GROSSO,January,301,2004-01-01
2005,MATO GROSSO,January,438,2005-01-01
2006,MATO GROSSO,January,947,2006-01-01
2007,MATO GROSSO,January,476,2007-01-01
2008,MATO GROSSO,January,245,2008-01-01
2009,MATO GROSSO,January,527,2009-01-01
2010,MATO GROSSO,January,298,2010-01-01
2011,MATO GROSSO,January,171,2011-01-01
2012,MATO GROSSO,January,166,2012-01-01
2013,MATO GROSSO,January,269,2013-01-01
2014,MATO GROSSO,January,315,2014-01-01
2015,MATO GROSSO,January,960,2015-01-01
2016,MATO GROSSO,January,374,2016-01-01
2017,MATO GROSSO,January,482,2017-01-01
1998,MATO GROSSO,February,0,1998-01-01
1999,MATO GROSSO,February,28,1999-01-01
2000,MATO GROSSO,February,35,2000-01-01
2001,MATO GROSSO,February,54,2001-01-01
2002,MATO GROSSO,February,22,2002-01-01
2003,MATO GROSSO,February,592,2003-01-01
2004,MATO GROSSO,February,272,2004-01-01
2005,MATO GROSSO,February,871,2005-01-01
2006,MATO GROSSO,February,383,2006-01-01
2007,MATO GROSSO,February,213,2007-01-01
2008,MATO GROSSO,February,180,2008-01-01
2009,MATO GROSSO,February,248,2009-01-01
2010,MATO GROSSO,February,431,2010-01-01
2011,MATO GROSSO,February,119,2011-01-01
2012,MATO GROSSO,February,193,2012-01-01
2013,MATO GROSSO,February,375,2013-01-01
2014,MATO GROSSO,February,199,2014-01-01
2015,MATO GROSSO,February,542,2015-01-01
2016,MATO GROSSO,February,1.05,2016-01-01
2017,MATO GROSSO,February,337,2017-01-01
1998,MATO GROSSO,March,0,1998-01-01
1999,MATO GROSSO,March,18,1999-01-01
2000,MATO GROSSO,March,60,2000-01-01
2001,MATO GROSSO,March,24,2001-01-01
2002,MATO GROSSO,March,103,2002-01-01
2003,MATO GROSSO,March,554,2003-01-01
2004,MATO GROSSO,March,743,2004-01-01
2005,MATO GROSSO,March,362,2005-01-01
2006,MATO GROSSO,March,448,2006-01-01
2007,MATO GROSSO,March,476,2007-01-01
2008,MATO GROSSO,March,180,2008-01-01
2009,MATO GROSSO,March,325,2009-01-01
2010,MATO GROSSO,March,605,2010-01-01
2011,MATO GROSSO,March,252,2011-01-01
2012,MATO GROSSO,March,423,2012-01-01
2013,MATO GROSSO,March,563,2013-01-01
2014,MATO GROSSO,March,655,2014-01-01
2015,MATO GROSSO,March,705,2015-01-01
2016,MATO GROSSO,March,1.085,2016-01-01
2017,MATO GROSSO,March,719,2017-01-01
1998,MATO GROSSO,April,0,1998-01-01
1999,MATO GROSSO,April,76,1999-01-01
2000,MATO GROSSO,April,59,2000-01-01
2001,MATO GROSSO,April,309,2001-01-01
2002,MATO GROSSO,April,641,2002-01-01
2003,MATO GROSSO,April,903,2003-01-01
2004,MATO GROSSO,April,441,2004-01-01
2005,MATO GROSSO,April,372,2005-01-01
2006,MATO GROSSO,April,161,2006-01-01
2007,MATO GROSSO,April,79,2007-01-01
2008,MATO GROSSO,April,274,2008-01-01
2009,MATO GROSSO,April,169,2009-01-01
2010,MATO GROSSO,April,769,2010-01-01
2011,MATO GROSSO,April,345,2011-01-01
2012,MATO GROSSO,April,521,2012-01-01
2013,MATO GROSSO,April,338,2013-01-01
2014,MATO GROSSO,April,859,2014-01-01
2015,MATO GROSSO,April,947,2015-01-01
2016,MATO GROSSO,April,1.77,2016-01-01
2017,MATO GROSSO,April,606,2017-01-01
1998,MATO GROSSO,May,0,1998-01-01
1999,MATO GROSSO,May,731,1999-01-01
2000,MATO GROSSO,May,1.194,2000-01-01
2001,MATO GROSSO,May,1.193,2001-01-01
2002,MATO GROSSO,May,2.528,2002-01-01
2003,MATO GROSSO,May,942,2003-01-01
2004,MATO GROSSO,May,2.413,2004-01-01
2005,MATO GROSSO,May,1.641,2005-01-01
2006,MATO GROSSO,May,269,2006-01-01
2007,MATO GROSSO,May,359,2007-01-01
2008,MATO GROSSO,May,119,2008-01-01
2009,MATO GROSSO,May,516,2009-01-01
2010,MATO GROSSO,May,1.313,2010-01-01
2011,MATO GROSSO,May,547,2011-01-01
2012,MATO GROSSO,May,812,2012-01-01
2013,MATO GROSSO,May,739,2013-01-01
2014,MATO GROSSO,May,933,2014-01-01
2015,MATO GROSSO,May,541,2015-01-01
2016,MATO GROSSO,May,1.081,2016-01-01
2017,MATO GROSSO,May,845,2017-01-01
1998,MATO GROSSO,June,2.201,1998-01-01
1999,MATO GROSSO,June,2.201,1999-01-01
2000,MATO GROSSO,June,4.358,2000-01-01
2001,MATO GROSSO,June,6.665,2001-01-01
2002,MATO GROSSO,June,7.878,2002-01-01
2003,MATO GROSSO,June,4.313,2003-01-01
2004,MATO GROSSO,June,9.813,2004-01-01
2005,MATO GROSSO,June,2.294,2005-01-01
2006,MATO GROSSO,June,856,2006-01-01
2007,MATO GROSSO,June,1.339,2007-01-01
2008,MATO GROSSO,June,403,2008-01-01
2009,MATO GROSSO,June,979,2009-01-01
2010,MATO GROSSO,June,1.025,2010-01-01
2011,MATO GROSSO,June,974,2011-01-01
2012,MATO GROSSO,June,1.651,2012-01-01
2013,MATO GROSSO,June,1.213,2013-01-01
2014,MATO GROSSO,June,1.795,2014-01-01
2015,MATO GROSSO,June,1.402,2015-01-01
2016,MATO GROSSO,June,1.417,2016-01-01
2017,MATO GROSSO,June,2.041,2017-01-01
1998,MATO GROSSO,July,3.712,1998-01-01
1999,MATO GROSSO,July,3.926,1999-01-01
2000,MATO GROSSO,July,1.338,2000-01-01
2001,MATO GROSSO,July,1.555,2001-01-01
2002,MATO GROSSO,July,5.661,2002-01-01
2003,MATO GROSSO,July,5.435,2003-01-01
2004,MATO GROSSO,July,11.517,2004-01-01
2005,MATO GROSSO,July,4.172,2005-01-01
2006,MATO GROSSO,July,1.941,2006-01-01
2007,MATO GROSSO,July,1.79,2007-01-01
2008,MATO GROSSO,July,1.117,2008-01-01
2009,MATO GROSSO,July,1.613,2009-01-01
2010,MATO GROSSO,July,3.442,2010-01-01
2011,MATO GROSSO,July,1.061,2011-01-01
2012,MATO GROSSO,July,2.008,2012-01-01
2013,MATO GROSSO,July,1.63,2013-01-01
2014,MATO GROSSO,July,2.255,2014-01-01
2015,MATO GROSSO,July,1.533,2015-01-01
2016,MATO GROSSO,July,3.495,2016-01-01
2017,MATO GROSSO,July,2.79,2017-01-01
1998,MATO GROSSO,August,15.406,1998-01-01
1999,MATO GROSSO,August,18.566,1999-01-01
2000,MATO GROSSO,August,6.063,2000-01-01
2001,MATO GROSSO,August,7.762,2001-01-01
2002,MATO GROSSO,August,14.086,2002-01-01
2003,MATO GROSSO,August,11.132,2003-01-01
2004,MATO GROSSO,August,13.603,2004-01-01
2005,MATO GROSSO,August,11.57,2005-01-01
2006,MATO GROSSO,August,6.218,2006-01-01
2007,MATO GROSSO,August,14.453,2007-01-01
2008,MATO GROSSO,August,2.875,2008-01-01
2009,MATO GROSSO,August,2.25,2009-01-01
2010,MATO GROSSO,August,14.608,2010-01-01
2011,MATO GROSSO,August,2.628,2011-01-01
2012,MATO GROSSO,August,6.195,2012-01-01
2013,MATO GROSSO,August,3.568,2013-01-01
2014,MATO GROSSO,August,7.167,2014-01-01
2015,MATO GROSSO,August,5.112,2015-01-01
2016,MATO GROSSO,August,6.228,2016-01-01
2017,MATO GROSSO,August,6.229,2017-01-01
1998,MATO GROSSO,September,10.363,1998-01-01
1999,MATO GROSSO,September,11.729,1999-01-01
2000,MATO GROSSO,September,6.251,2000-01-01
2001,MATO GROSSO,September,8.49,2001-01-01
2002,MATO GROSSO,September,11.034,2002-01-01
2003,MATO GROSSO,September,15.79,2003-01-01
2004,MATO GROSSO,September,24.994,2004-01-01
2005,MATO GROSSO,September,20.551,2005-01-01
2006,MATO GROSSO,September,12.661,2006-01-01
2007,MATO GROSSO,September,25.963,2007-01-01
2008,MATO GROSSO,September,7.965,2008-01-01
2009,MATO GROSSO,September,3.129,2009-01-01
2010,MATO GROSSO,September,18.366,2010-01-01
2011,MATO GROSSO,September,6.332,2011-01-01
2012,MATO GROSSO,September,10.344,2012-01-01
2013,MATO GROSSO,September,5.576,2013-01-01
2014,MATO GROSSO,September,7.081,2014-01-01
2015,MATO GROSSO,September,11.068,2015-01-01
2016,MATO GROSSO,September,8.98,2016-01-01
2017,MATO GROSSO,September,23.945,2017-01-01
1998,MATO GROSSO,October,2.707,1998-01-01
1999,MATO GROSSO,October,6.109,1999-01-01
2000,MATO GROSSO,October,6.062,2000-01-01
2001,MATO GROSSO,October,6.543,2001-01-01
2002,MATO GROSSO,October,9.375,2002-01-01
2003,MATO GROSSO,October,5.341,2003-01-01
2004,MATO GROSSO,October,9.295,2004-01-01
2005,MATO GROSSO,October,7.765,2005-01-01
2006,MATO GROSSO,October,2.327,2006-01-01
2007,MATO GROSSO,October,4.89,2007-01-01
2008,MATO GROSSO,October,6.326,2008-01-01
2009,MATO GROSSO,October,2.579,2009-01-01
2010,MATO GROSSO,October,4.465,2010-01-01
2011,MATO GROSSO,October,2.01,2011-01-01
2012,MATO GROSSO,October,2.837,2012-01-01
2013,MATO GROSSO,October,1.986,2013-01-01
2014,MATO GROSSO,October,5.281,2014-01-01
2015,MATO GROSSO,October,6.49,2015-01-01
2016,MATO GROSSO,October,2.749,2016-01-01
2017,MATO GROSSO,October,4.8,2017-01-01
1998,MATO GROSSO,November,182,1998-01-01
1999,MATO GROSSO,November,842,1999-01-01
2000,MATO GROSSO,November,502,2000-01-01
2001,MATO GROSSO,November,373,2001-01-01
2002,MATO GROSSO,November,2.905,2002-01-01
2003,MATO GROSSO,November,2.097,2003-01-01
2004,MATO GROSSO,November,2.405,2004-01-01
2005,MATO GROSSO,November,1.368,2005-01-01
2006,MATO GROSSO,November,1.031,2006-01-01
2007,MATO GROSSO,November,299,2007-01-01
2008,MATO GROSSO,November,190,2008-01-01
2009,MATO GROSSO,November,588,2009-01-01
2010,MATO GROSSO,November,768,2010-01-01
2011,MATO GROSSO,November,1.103,2011-01-01
2012,MATO GROSSO,November,375,2012-01-01
2013,MATO GROSSO,November,1.064,2013-01-01
2014,MATO GROSSO,November,1.018,2014-01-01
2015,MATO GROSSO,November,1.93,2015-01-01
2016,MATO GROSSO,November,918,2016-01-01
2017,MATO GROSSO,November,813,2017-01-01
1998,MATO GROSSO,December,76,1998-01-01
1999,MATO GROSSO,December,47,1999-01-01
2000,MATO GROSSO,December,98,2000-01-01
2001,MATO GROSSO,December,37,2001-01-01
2002,MATO GROSSO,December,1.157,2002-01-01
2003,MATO GROSSO,December,1.622,2003-01-01
2004,MATO GROSSO,December,1.217,2004-01-01
2005,MATO GROSSO,December,246,2005-01-01
2006,MATO GROSSO,December,23,2006-01-01
2007,MATO GROSSO,December,81,2007-01-01
2008,MATO GROSSO,December,159,2008-01-01
2009,MATO GROSSO,December,171,2009-01-01
2010,MATO GROSSO,December,846,2010-01-01
2011,MATO GROSSO,December,431,2011-01-01
2012,MATO GROSSO,December,492,2012-01-01
2013,MATO GROSSO,December,447,2013-01-01
2014,MATO GROSSO,December,466,2014-01-01
2015,MATO GROSSO,December,1.777,2015-01-01
2016,MATO GROSSO,December,425,2016-01-01
1998,MATO GROSSO,January,0,1998-01-01
1999,MATO GROSSO,January,239,1999-01-01
2000,MATO GROSSO,January,326,2000-01-01
2001,MATO GROSSO,January,97,2001-01-01
2002,MATO GROSSO,January,304,2002-01-01
2003,MATO GROSSO,January,182,2003-01-01
2004,MATO GROSSO,January,258,2004-01-01
2005,MATO GROSSO,January,59,2005-01-01
2006,MATO GROSSO,January,59,2006-01-01
2007,MATO GROSSO,January,19,2007-01-01
2008,MATO GROSSO,January,63,2008-01-01
2009,MATO GROSSO,January,229,2009-01-01
2010,MATO GROSSO,January,72,2010-01-01
2011,MATO GROSSO,January,129,2011-01-01
2012,MATO GROSSO,January,201,2012-01-01
2013,MATO GROSSO,January,174,2013-01-01
2014,MATO GROSSO,January,197,2014-01-01
2015,MATO GROSSO,January,226,2015-01-01
2016,MATO GROSSO,January,127,2016-01-01
2017,MATO GROSSO,January,355,2017-01-01
1998,MATO GROSSO,February,0,1998-01-01
1999,MATO GROSSO,February,69,1999-01-01
2000,MATO GROSSO,February,81,2000-01-01
2001,MATO GROSSO,February,89,2001-01-01
2002,MATO GROSSO,February,98,2002-01-01
2003,MATO GROSSO,February,108,2003-01-01
2004,MATO GROSSO,February,169,2004-01-01
2005,MATO GROSSO,February,221,2005-01-01
2006,MATO GROSSO,February,104,2006-01-01
2007,MATO GROSSO,February,111,2007-01-01
2008,MATO GROSSO,February,78,2008-01-01
2009,MATO GROSSO,February,164,2009-01-01
2010,MATO GROSSO,February,157,2010-01-01
2011,MATO GROSSO,February,61,2011-01-01
2012,MATO GROSSO,February,112,2012-01-01
2013,MATO GROSSO,February,100,2013-01-01
2014,MATO GROSSO,February,139,2014-01-01
2015,MATO GROSSO,February,148,2015-01-01
2016,MATO GROSSO,February,187,2016-01-01
2017,MATO GROSSO,February,165,2017-01-01
1998,MATO GROSSO,March,0,1998-01-01
1999,MATO GROSSO,March,100,1999-01-01
2000,MATO GROSSO,March,23,2000-01-01
2001,MATO GROSSO,March,39,2001-01-01
2002,MATO GROSSO,March,115,2002-01-01
2003,MATO GROSSO,March,137,2003-01-01
2004,MATO GROSSO,March,225,2004-01-01
2005,MATO GROSSO,March,158,2005-01-01
2006,MATO GROSSO,March,137,2006-01-01
2007,MATO GROSSO,March,137,2007-01-01
2008,MATO GROSSO,March,97,2008-01-01
2009,MATO GROSSO,March,118,2009-01-01
2010,MATO GROSSO,March,149,2010-01-01
2011,MATO GROSSO,March,37,2011-01-01
2012,MATO GROSSO,March,169,2012-01-01
2013,MATO GROSSO,March,158,2013-01-01
2014,MATO GROSSO,March,95,2014-01-01
2015,MATO GROSSO,March,190,2015-01-01
2016,MATO GROSSO,March,143,2016-01-01
2017,MATO GROSSO,March,170,2017-01-01
1998,MATO GROSSO,April,0,1998-01-01
1999,MATO GROSSO,April,97,1999-01-01
2000,MATO GROSSO,April,90,2000-01-01
2001,MATO GROSSO,April,108,2001-01-01
2002,MATO GROSSO,April,230,2002-01-01
2003,MATO GROSSO,April,126,2003-01-01
2004,MATO GROSSO,April,97,2004-01-01
2005,MATO GROSSO,April,126,2005-01-01
2006,MATO GROSSO,April,51,2006-01-01
2007,MATO GROSSO,April,46,2007-01-01
2008,MATO GROSSO,April,72,2008-01-01
2009,MATO GROSSO,April,291,2009-01-01
2010,MATO GROSSO,April,136,2010-01-01
2011,MATO GROSSO,April,23,2011-01-01
2012,MATO GROSSO,April,97,2012-01-01
2013,MATO GROSSO,April,78,2013-01-01
2014,MATO GROSSO,April,129,2014-01-01
2015,MATO GROSSO,April,65,2015-01-01
2016,MATO GROSSO,April,161,2016-01-01
2017,MATO GROSSO,April,59,2017-01-01
1998,MATO GROSSO,May,0,1998-01-01
1999,MATO GROSSO,May,206,1999-01-01
2000,MATO GROSSO,May,127,2000-01-01
2001,MATO GROSSO,May,112,2001-01-01
2002,MATO GROSSO,May,88,2002-01-01
2003,MATO GROSSO,May,74,2003-01-01
2004,MATO GROSSO,May,25,2004-01-01
2005,MATO GROSSO,May,328,2005-01-01
2006,MATO GROSSO,May,99,2006-01-01
2007,MATO GROSSO,May,62,2007-01-01
2008,MATO GROSSO,May,34,2008-01-01
2009,MATO GROSSO,May,927,2009-01-01
2010,MATO GROSSO,May,105,2010-01-01
2011,MATO GROSSO,May,81,2011-01-01
2012,MATO GROSSO,May,157,2012-01-01
2013,MATO GROSSO,May,72,2013-01-01
2014,MATO GROSSO,May,70,2014-01-01
2015,MATO GROSSO,May,58,2015-01-01
2016,MATO GROSSO,May,97,2016-01-01
2017,MATO GROSSO,May,72,2017-01-01
1998,MATO GROSSO,June,82,1998-01-01
1999,MATO GROSSO,June,127,1999-01-01
2000,MATO GROSSO,June,157,2000-01-01
2001,MATO GROSSO,June,249,2001-01-01
2002,MATO GROSSO,June,517,2002-01-01
2003,MATO GROSSO,June,170,2003-01-01
2004,MATO GROSSO,June,394,2004-01-01
2005,MATO GROSSO,June,439,2005-01-01
2006,MATO GROSSO,June,89,2006-01-01
2007,MATO GROSSO,June,141,2007-01-01
2008,MATO GROSSO,June,24,2008-01-01
2009,MATO GROSSO,June,376,2009-01-01
2010,MATO GROSSO,June,149,2010-01-01
2011,MATO GROSSO,June,104,2011-01-01
2012,MATO GROSSO,June,96,2012-01-01
2013,MATO GROSSO,June,35,2013-01-01
